,statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,is_verified,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length,is_bot
0,3792,23,8,2,1,0,0,0,1138,3.3321616871704745,0.020210896309314587,0.007029876977152899,0.0017574692442882249,0.0008787346221441124,2.875,11,0,27,0,80,1
1,407226,322,8,34,21,0,1,0,2580,157.83953488372094,0.1248062015503876,0.0031007751937984496,0.01317829457364341,0.00813953488372093,40.25,13,0,14,0,160,1
2,15668,171,86,1933,32,1,1,0,2282,6.865907099035933,0.07493426818580193,0.03768624014022787,0.8470639789658194,0.014022787028921999,1.9883720930232558,13,0,13,0,156,1
3,5087,3374,9,15,146,1,1,0,1952,2.606045081967213,1.728483606557377,0.004610655737704918,0.007684426229508197,0.07479508196721311,374.8888888888889,9,0,9,0,135,1
4,2813,7,2,1,4,0,0,0,1559,1.804361770365619,0.004490057729313663,0.0012828736369467607,0.0006414368184733803,0.0025657472738935213,3.5,13,0,13,0,52,1
5,17685,3968,15,0,110,0,0,0,1765,10.019830028328611,2.2481586402266287,0.0084985835694051,0.0,0.06232294617563739,264.53333333333336,9,0,14,0,150,1
6,3046,277,25,5,6,0,0,0,1059,2.8762983947119927,0.2615675165250236,0.023607176581680833,0.004721435316336166,0.0056657223796034,11.08,15,0,21,0,79,1
7,1961,55,1,0,10,1,1,0,996,1.9688755020080322,0.055220883534136546,0.001004016064257028,0.0,0.010040160642570281,55.0,14,0,14,0,92,1
8,9166,177,0,52,36,1,1,0,1830,5.008743169398907,0.09672131147540984,0.0,0.02841530054644809,0.019672131147540985,23524.0,15,0,16,0,64,1
9,10279,106,1,229,20,1,1,0,2080,4.941826923076923,0.05096153846153846,0.0004807692307692308,0.11009615384615384,0.009615384615384616,106.0,13,0,14,0,154,1
10,1246,15,1,0,14,1,1,0,2029,0.61409561360276,0.007392804337111878,0.0004928536224741252,0.0,0.006899950714637753,15.0,10,0,11,0,96,1
11,1951,13,7,7,2,0,0,0,923,2.1137594799566632,0.014084507042253521,0.007583965330444204,0.007583965330444204,0.0021668472372697724,1.8571428571428572,10,0,6,0,140,1
