,statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,is_verified,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length,is_bot
0,39411,651238,665,13561,1761,0,0,1,4634,8.504747518342684,140.5347432024169,0.14350453172205438,2.9264134656883902,0.3800172637030643,979.3052631578947,11,0,11,0,117,0
1,41187,265102,943,11365,783,0,0,1,4319,9.536235239638806,61.38041213243807,0.21833757814308868,2.6313961565177126,0.1812919657328085,281.12619300106047,13,0,19,0,40,0
2,310,2724932,14,76,3164,1,1,1,2623,0.11818528402592451,1038.8608463591308,0.00533739992375143,0.028974456728936334,1.206252382767823,194638.0,14,0,12,0,86,0
3,16689,727503,293,111,1153,0,1,1,4379,3.8111440968257595,166.13450559488467,0.06691025348253025,0.025348253025804977,0.2633021237725508,2482.9453924914674,15,2,14,0,149,0
4,4977,1845847,686,6215,12258,0,1,1,4292,1.1595992544268405,430.06686859273066,0.1598322460391426,1.4480428704566635,2.8560111835973907,2690.7390670553937,10,0,11,0,13,0
5,9290,1001741,153,2841,1754,0,1,1,3870,2.400516795865633,258.84780361757106,0.03953488372093023,0.734108527131783,0.4532299741602067,6547.326797385621,13,0,11,0,20,0
6,9379,817223,1429,297,2390,0,1,1,4106,2.2842182172430587,199.03141743789575,0.34802727715538234,0.0723331709693132,0.5820750121773015,571.8845346396081,11,0,11,0,158,0
7,16830,3677637,425,23231,6073,0,0,1,3914,4.299948901379663,939.6108840061319,0.10858456821665816,5.935360245273378,1.5516096065406233,8653.263529411764,4,2,15,0,37,0
8,13365,560848,143465,35,17429,1,1,0,4268,3.131443298969072,131.40768509840674,33.614104967197754,0.008200562324273665,4.0836457357075915,3.9093019203290003,7,0,3,0,0,0
9,4845,3155561,152,1093,8671,0,1,1,4150,1.1674698795180722,760.3761445783133,0.03662650602409639,0.2633734939759036,2.089397590361446,20760.269736842107,13,0,18,0,17,0
10,64323,2054259,2326,2851,2359,0,0,1,4463,14.412502800806632,460.28657853461795,0.5211740981402644,0.6388079766972888,0.5285682276495631,883.1723989681857,14,0,7,0,7,0
11,710,2214186,109,35,1584,0,1,1,2643,0.2686341278849792,837.7548240635641,0.041241013999243285,0.01324252743094968,0.5993189557321226,20313.633027522937,9,0,10,0,72,0
12,42179,452250,1135,1824,366,0,0,0,4374,9.643118427069044,103.39506172839506,0.25948788294467307,0.4170096021947874,0.08367626886145405,398.45814977973566,11,0,12,0,159,0
13,982,210069,59,168,580,0,1,1,4262,0.23040825903331769,49.288831534490846,0.013843266072266542,0.039418113561708115,0.1360863444392304,3560.491525423729,12,0,13,0,23,0
14,18968,16415,105,202,53,0,1,0,3928,4.828920570264766,4.178971486761711,0.026731160896130347,0.05142566191446028,0.0134928716904277,156.33333333333334,10,0,20,0,74,0
15,9850,1175,2610,156,40,0,0,0,4372,2.2529734675205857,0.26875571820677036,0.5969807868252516,0.035681610247026534,0.009149130832570906,0.4501915708812261,12,0,16,0,141,0
16,5279,47694,622,3167,20,0,1,0,4424,1.193264014466546,10.780741410488245,0.14059674502712477,0.715867992766727,0.0045207956600361665,76.67845659163987,10,0,10,0,39,0
17,9599,3342223,336,5,9754,1,1,1,2901,3.3088590141330574,1152.0934160634265,0.11582213029989659,0.001723543605653223,3.3622888659083077,9947.092261904761,12,0,6,0,22,0
18,26039,3584339,633,788,1674,0,1,1,3937,6.613919227838456,910.4239268478537,0.16078232156464312,0.2001524003048006,0.4251968503937008,5662.462875197472,7,0,4,0,132,0
19,61222,891846,1777,23945,3662,0,1,1,3811,16.064549986880085,234.01889267908686,0.4662818157963789,6.283127787982157,0.9609026502230386,501.88294879009567,13,0,14,0,153,0
20,18437,122554,1738,2836,309,0,1,1,4119,4.476086428744841,29.753338188880797,0.42194707453265357,0.6885166302500607,0.07501820830298617,70.51438434982738,9,0,10,0,99,0
21,27634,4746750,135,6648,18306,0,0,1,4397,6.2847395951785305,1079.542870138731,0.030702751876279282,1.5119399590629976,4.163293154423471,35161.11111111111,9,0,10,0,136,0
22,761,1973043,99,1211,614,1,1,1,3587,0.2121550041817675,550.0538054084193,0.0275996654586005,0.33760802899358794,0.17117368274323946,19929.727272727272,5,0,13,0,151,0
23,18106,158094,1985,7155,179,1,1,1,3880,4.666494845360825,40.745876288659794,0.5115979381443299,1.8440721649484537,0.046134020618556704,79.64433249370278,13,0,13,0,90,0
24,737,603010,210,21,1201,0,0,1,2655,0.2775894538606403,227.12241054613935,0.07909604519774012,0.007909604519774011,0.45235404896421844,2871.4761904761904,15,0,15,0,98,0
25,78035,611707,423,12381,3537,0,1,1,4011,19.455248067813514,152.50735477437047,0.10545998504113688,3.086761406133134,0.8818249813014211,1446.1158392434988,7,0,13,0,159,0
26,33685,12400,3086,1413,296,0,1,0,4441,7.585003377617654,2.792163927043459,0.6948885386174285,0.31817158297680703,0.0666516550326503,4.018146467919637,13,0,19,0,147,0
27,3701,4081936,108,5927,521,0,1,1,2944,1.257133152173913,1386.5271739130435,0.036684782608695655,2.013247282608696,0.17697010869565216,37795.7037037037,11,0,12,0,114,0
28,11889,992173,1468,26522,3983,0,1,1,4361,2.7262095849575787,227.5104333868379,0.33662004127493694,6.081632653061225,0.913322632423756,675.867166212534,12,0,10,0,98,0
29,5502,288918,1008,22,639,1,1,0,3694,1.4894423389279914,78.21277747698971,0.27287493232268545,0.005955603681645912,0.1729832160259881,286.625,9,0,11,0,9,0
30,14527,1404104,2360,14684,2303,0,1,1,3591,4.045391255917572,391.00640490114176,0.657198551935394,4.0891116680590365,0.6413255360623782,594.9593220338983,11,0,12,0,21,0
31,4247,244391,622,145,1373,1,1,1,3982,1.0665494726268208,61.373932697137114,0.15620291310899045,0.03641386238071321,0.34480160723254644,392.911575562701,12,0,13,0,29,0
32,1564,883209,322,264,2058,0,1,1,3686,0.4243081931633207,239.61177428106348,0.08735756918068367,0.0716223548562127,0.5583288117200217,2742.885093167702,5,1,17,0,62,0
33,7492,755357,601,1161,4146,0,1,1,4192,1.7872137404580153,180.19012404580153,0.14336832061068702,0.27695610687022904,0.9890267175572519,1256.8336106489185,13,2,12,0,75,0
34,23558,130486,549,397,157,0,1,1,4290,5.491375291375292,30.416317016317016,0.12797202797202797,0.09254079254079255,0.036596736596736595,237.67941712204006,11,0,12,0,140,0
35,7373,1121332,234,35,3585,0,1,1,4375,1.6852571428571428,256.30445714285713,0.05348571428571428,0.008,0.8194285714285714,4792.017094017094,14,0,6,0,111,0
36,6396,212572,235,11075,390,0,1,1,4253,1.5038796143898425,49.98166000470256,0.05525511403715025,2.6040442040912297,0.09169997648718552,904.5617021276596,10,0,10,0,120,0
