,statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,is_verified,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length,is_bot
0,8,3,359,10,0,1,1,0,4334,0.0018458698661744347,0.0006922011998154131,0.08283341024457776,0.0023073373327180432,0.0,0.008356545961002786,9,3,3,0,0,1
1,801,76,957,205,3,1,1,0,4291,0.18666977394546724,0.017711489163365183,0.22302493591237474,0.04777441155907714,0.0006991377301328362,0.0794148380355277,7,0,7,0,0,1
2,240,160,2673,113,1,0,1,0,3389,0.07081735025081144,0.0472115668338743,0.7887282384184126,0.03334316907642372,0.00029507229271171436,0.05985783763561541,15,0,12,0,121,1
3,65,45,1073,57,0,1,1,0,3362,0.01933372992266508,0.01338488994646044,0.31915526472337896,0.016954193932183226,0.0,0.04193849021435228,14,8,13,0,6,1
4,114,2,734,77,0,1,1,0,2520,0.04523809523809524,0.0007936507936507937,0.2912698412698413,0.030555555555555555,0.0,0.0027247956403269754,11,0,12,0,36,1
5,96,30,1174,249,0,1,1,0,3485,0.027546628407460545,0.00860832137733142,0.33687230989956957,0.07144906743185078,0.0,0.02555366269165247,11,0,12,0,60,1
6,199,14,1363,168,0,1,1,0,3382,0.05884092253104672,0.004139562389118865,0.4030159668835009,0.04967474866942637,0.0,0.010271460014673514,10,2,12,0,17,1
7,39050,1933,1764,277,11,0,1,0,3067,12.73231170524943,0.6302575806977503,0.5751548744701663,0.09031626997065537,0.0035865666775350504,1.0958049886621315,9,2,3,0,0,1
8,101,10,1127,87,0,0,1,0,4289,0.02354861273024015,0.0023315458148752623,0.26276521333644204,0.02028444858941478,0.0,0.008873114463176575,6,2,7,0,61,1
9,36,53,452,50,0,1,1,0,4305,0.008362369337979094,0.012311265969802556,0.10499419279907085,0.011614401858304297,0.0,0.1172566371681416,14,0,5,0,0,1
10,195,106,3376,415,0,0,1,0,4214,0.046274323682961555,0.025154247745609874,0.8011390602752729,0.0984812529663028,0.0,0.03139810426540284,8,0,9,0,27,1
11,112,15,1282,194,0,1,1,0,4190,0.02673031026252983,0.003579952267303103,0.30596658711217184,0.04630071599045346,0.0,0.01170046801872075,9,0,13,0,76,1
12,166,56,696,91,3,1,1,0,3998,0.0415207603801901,0.014007003501750876,0.17408704352176088,0.02276138069034517,0.0007503751875937969,0.08045977011494253,9,0,14,0,0,1
13,169,39,990,60,0,0,1,0,4164,0.04058597502401537,0.009365994236311239,0.2377521613832853,0.01440922190201729,0.0,0.03939393939393939,10,0,18,0,0,1
14,51,9,715,58,1,1,1,0,4090,0.012469437652811735,0.002200488997555012,0.17481662591687042,0.014180929095354523,0.00024449877750611245,0.012587412587412588,10,1,10,0,0,1
15,14753,78,490,1130,0,0,1,0,3894,3.788649203903441,0.020030816640986132,0.1258346173600411,0.29019003595274784,0.0,0.15918367346938775,10,0,4,0,27,1
16,26753,1440,2918,231,2,0,1,0,3988,6.708375125376128,0.36108324974924777,0.7316950852557673,0.05792377131394182,0.0005015045135406219,0.49348869088416725,15,0,17,0,0,1
17,10183,347,345,1148,7,0,1,0,3937,2.586487172974346,0.08813817627635255,0.08763017526035052,0.29159258318516634,0.001778003556007112,1.0057971014492753,9,1,9,0,28,1
18,732,130,895,96,1,1,1,0,3996,0.1831831831831832,0.032532532532532535,0.22397397397397398,0.024024024024024024,0.00025025025025025025,0.1452513966480447,11,0,19,0,89,1
19,88,69,1008,899,0,1,1,0,3911,0.02250063922270519,0.01764254666325748,0.2577345947328049,0.22986448478649962,0.0,0.06845238095238096,6,0,13,0,0,1
20,48,17,724,54,1,1,1,0,3843,0.01249024199843872,0.004423627374447047,0.18839448347645069,0.01405152224824356,0.00026021337496747333,0.023480662983425413,8,2,15,0,0,1
21,231,62,819,633,0,1,1,0,3840,0.06015625,0.016145833333333335,0.21328125,0.16484375,0.0,0.0757020757020757,11,4,14,0,42,1
22,9,0,39,4,0,1,1,0,3822,0.002354788069073783,0.0,0.01020408163265306,0.0010465724751439038,0.0,0.0,9,0,9,0,0,1
23,801,89,652,82,0,1,1,0,3833,0.2089746934516045,0.02321941038351161,0.17010174797808505,0.021393164623010698,0.0,0.13650306748466257,13,0,11,0,56,1
24,1930,88,884,66,0,0,0,0,3800,0.5078947368421053,0.023157894736842106,0.2326315789473684,0.017368421052631578,0.0,0.09954751131221719,13,0,18,0,110,1
25,66,1,232,68,0,1,1,0,3811,0.017318289162949356,0.0002623983206507478,0.060876410390973495,0.01784308580425085,0.0,0.004310344827586207,11,0,15,0,0,1
26,68,4,357,72,0,1,1,0,3797,0.01790887542796945,0.0010534632604687912,0.09402159599683961,0.01896233868843824,0.0,0.011204481792717087,6,0,10,0,0,1
27,12,1,120,1,0,0,1,0,3788,0.0031678986272439284,0.00026399155227032733,0.03167898627243928,0.00026399155227032733,0.0,0.008333333333333333,10,0,13,0,46,1
28,154,9,837,142,0,0,1,0,3794,0.04059040590405904,0.0023721665788086453,0.220611491829204,0.03742751713231418,0.0,0.010752688172043012,11,1,14,0,41,1
29,93,94,1021,24,0,1,1,0,3787,0.024557697385793505,0.02482175864800634,0.2696065487193029,0.006337470293108001,0.0,0.0920666013712047,10,0,6,0,32,1
30,222,21,1281,144,8,1,1,0,3770,0.05888594164456233,0.005570291777188329,0.33978779840848805,0.03819628647214854,0.002122015915119363,0.01639344262295082,12,0,13,0,0,1
31,6477,376,732,84,1,0,1,0,3779,1.713945488224398,0.09949722148716592,0.19370203757607832,0.022228102672664726,0.0002646202699126753,0.5136612021857924,11,0,13,0,16,1
32,971,54,823,313,0,1,1,0,3755,0.2585885486018642,0.014380825565912117,0.2191744340878828,0.0833555259653795,0.0,0.06561360874848117,13,0,13,0,88,1
33,101,4,91,6,0,1,1,0,3637,0.027770140225460545,0.0010998075336816058,0.02502062139125653,0.0016497113005224085,0.0,0.04395604395604396,9,2,2,0,8,1
34,14,6,1443,12,0,1,1,0,3675,0.0038095238095238095,0.0016326530612244899,0.3926530612244898,0.0032653061224489797,0.0,0.004158004158004158,9,2,19,0,0,1
35,15,2,1612,14,0,1,1,0,3660,0.004098360655737705,0.000546448087431694,0.44043715846994536,0.003825136612021858,0.0,0.0012406947890818859,10,0,15,0,0,1
36,44,8,629,36,0,1,1,0,3672,0.011982570806100218,0.002178649237472767,0.1712962962962963,0.00980392156862745,0.0,0.012718600953895072,12,2,10,0,0,1
37,18,2,270,89,0,1,1,0,3667,0.004908644668666485,0.000545404963185165,0.07362967002999728,0.024270520861739843,0.0,0.007407407407407408,11,0,16,0,113,1
38,83,6,1264,57,0,0,1,0,3614,0.022966242390702822,0.0016602102933038186,0.34975096845600445,0.015771997786386275,0.0,0.004746835443037975,13,0,7,0,35,1
39,173,55,855,79,0,0,1,0,3629,0.04767153485808763,0.015155690272802424,0.2356020942408377,0.021769082391843483,0.0,0.06432748538011696,15,0,16,0,0,1
40,130,49,610,48,0,1,1,0,3612,0.03599114064230343,0.013565891472868217,0.1688815060908084,0.013289036544850499,0.0,0.08032786885245902,12,0,13,0,0,1
41,60,3,359,66,0,1,1,0,3593,0.016699137211244084,0.0008349568605622043,0.09991650431394378,0.018369050932368493,0.0,0.008356545961002786,6,4,10,0,0,1
